candidate,entity_type,source,matches,suggested_action
напряжений,Property,heuristic_word,10,review: add TermSpec as Property if meaningful
керна,Material,heuristic_word,7,review: add TermSpec as Material if meaningful
массива,RockMass,heuristic_word,5,review: add TermSpec as RockMass if meaningful
деформаций,Property,heuristic_word,5,review: add TermSpec as Property if meaningful
метода,Method,heuristic_word,4,review: add TermSpec as Method if meaningful
измерения,Process,heuristic_word,4,review: add TermSpec as Process if meaningful
Метод полной разгрузки керна Overcoring,Method,heuristic_phrase,4,review: add TermSpec as Method if meaningful
Численное моделирование процесса разгрузки,Process,heuristic_phrase,4,review: add TermSpec as Process if meaningful
скважины,MineObject,heuristic_word,4,review: add TermSpec as MineObject if meaningful
напряженно деформированного состояния,Property,heuristic_phrase,3,review: add TermSpec as Property if meaningful
поле напряжений,Property,heuristic_phrase,3,review: add TermSpec as Property if meaningful
использованием численного моделирования,Model,heuristic_phrase,3,review: add TermSpec as Model if meaningful
CAE Fidesys,Equipment,heuristic_phrase,3,review: add TermSpec as Equipment if meaningful
Измерение,Process,heuristic_word,3,review: add TermSpec as Process if meaningful
Тарировка,Process,heuristic_word,3,review: add TermSpec as Process if meaningful
экстензометра,Equipment,heuristic_word,3,review: add TermSpec as Equipment if meaningful
HQ,Equipment,heuristic_word,3,review: add TermSpec as Equipment if meaningful
разгрузки,Process,heuristic_word,3,review: add TermSpec as Process if meaningful
НХР,GeologicalFeature,heuristic_word,3,review: add TermSpec as GeologicalFeature if meaningful
пород,RockMass,heuristic_word,2,review: add TermSpec as RockMass if meaningful
Талнахского месторождения,MineObject,heuristic_phrase,2,review: add TermSpec as MineObject if meaningful
численного моделирования,Model,heuristic_phrase,2,review: add TermSpec as Model if meaningful
влияния,Condition,heuristic_word,2,review: add TermSpec as Condition if meaningful
проведения измерений,Process,heuristic_phrase,2,review: add TermSpec as Process if meaningful
методов определения,Method,heuristic_phrase,2,review: add TermSpec as Method if meaningful
глубины,Parameter,heuristic_word,2,review: add TermSpec as Parameter if meaningful
бурения скважин,Process,heuristic_phrase,2,review: add TermSpec as Process if meaningful
выработки,MineObject,heuristic_word,2,review: add TermSpec as MineObject if meaningful
развития пластических деформаций,Condition,heuristic_phrase,2,review: add TermSpec as Condition if meaningful
установки экстензометров,Equipment,heuristic_phrase,2,review: add TermSpec as Equipment if meaningful
Интерпретация результатов,Process,heuristic_phrase,2,review: add TermSpec as Process if meaningful
измерений,Process,heuristic_word,2,review: add TermSpec as Process if meaningful
Метод полной разгрузки керна,Method,heuristic_phrase,2,review: add TermSpec as Method if meaningful
перемещений,Property,heuristic_word,2,review: add TermSpec as Property if meaningful
скважинный деформометр,Equipment,heuristic_phrase,2,review: add TermSpec as Equipment if meaningful
